2020-04-19 18:04:641 INFO  CustomerPage :36 - clicking on delete customer tab :Proxy element for: DefaultElementLocator 'By.xpath: //tr[@class='ng-scope']//td//button'
2020-04-20 10:04:610 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-20 10:04:134 INFO  HomePage :51 - clicking on bank manager login button : [[ChromeDriver: chrome on WINDOWS (ca45c0411a90497691ebb9975d17aa98)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 10:04:218 INFO  BankManagerLoginPage :39 - clicking on add customer tab : [[ChromeDriver: chrome on WINDOWS (ca45c0411a90497691ebb9975d17aa98)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-20 10:04:871 INFO  AddCustomerPage :38 - entering firstname on firstname field : Tiger[[ChromeDriver: chrome on WINDOWS (ca45c0411a90497691ebb9975d17aa98)] -> xpath: //input[@placeholder='First Name']]
2020-04-20 10:04:209 INFO  AddCustomerPage :45 - entering lastname on lastname field : Foster[[ChromeDriver: chrome on WINDOWS (ca45c0411a90497691ebb9975d17aa98)] -> xpath: //input[@placeholder='Last Name']]
2020-04-20 10:04:602 INFO  AddCustomerPage :51 - entering postcode on postcode field : HA2 6JT[[ChromeDriver: chrome on WINDOWS (ca45c0411a90497691ebb9975d17aa98)] -> xpath: //input[@placeholder='Post Code']]
2020-04-20 10:04:507 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-20 10:04:245 INFO  HomePage :51 - clicking on bank manager login button : [[ChromeDriver: chrome on WINDOWS (2a24951fa595a4cf737bb5d0604d9e75)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 10:04:994 INFO  BankManagerLoginPage :39 - clicking on add customer tab : [[ChromeDriver: chrome on WINDOWS (2a24951fa595a4cf737bb5d0604d9e75)] -> xpath: //button[contains(text(),'Add Customer')]]
